36.14	32
36.16	27
36.18	36
36.2	38
36.22	29
36.24	34
36.26	26
36.28	22
36.3	30
36.32	25
36.34	20
36.36	18
36.38	15
36.4	22
36.42	19
36.44	23
36.46	32
36.48	22
36.5	23
36.52	23
36.54	22
36.56	34
36.58	24
36.6	30
36.62	31
36.64	31
36.66	26
36.68	28
36.7	27
36.72	23
36.74	34
36.76	28
36.78	25
36.8	22
36.82	23
36.84	21
36.86	24
36.88	22
36.9	24
36.92	29
36.94	21
36.96	26
36.98	19
37	21
37.02	25
37.04	29
37.06	20
37.08	37
37.1	26
37.12	20
37.14	22
37.16	20
37.18	20
37.2	27
37.22	21
37.24	35
37.26	17
37.28	18
37.3	18
37.32	21
37.34	16
37.36	20
37.38	23
37.4	18
37.42	15
37.44	12
37.46	13
37.48	14
37.5	11
37.52	16
37.54	14
37.56	21
37.58	20
37.6	8
37.62	14
37.64	24
37.66	20
37.68	27
37.7	28
37.72	22
37.74	26
37.76	17
37.78	23
37.8	31
37.82	17
37.84	14
37.86	20
37.88	12
37.9	15
37.92	15
37.94	21
37.96	17
37.98	13
38	22
38.02	22
38.04	29
38.06	25
38.08	26
38.1	25
38.12	40
38.14	36
38.16	35
38.18	44
38.2	38
38.22	48
38.24	41
38.26	50
38.28	36
38.3	34
38.32	32
38.34	25
38.36	21
38.38	23
38.4	18
38.42	16
38.44	18
38.46	11
38.48	19
38.5	12
38.52	15
38.54	14
38.56	8
38.58	17
38.6	7
38.62	11
38.64	11
38.66	12
38.68	23
38.7	8
38.72	5
38.74	15
38.76	13
38.78	7
38.8	10
38.82	9
38.84	13
38.86	10
38.88	9
38.9	16
38.92	13
38.94	11
